name,logo,ad,motto
3M,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRru4U2Zn8I7t-C1fBJsRkufcZuqTxoyoqd2LfZ5tVb7ixpBuy7jxl4qgFcvg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTu3NfvBA5pP3RF70s_gwcw08h4_jkjoqR3LruE3UMWZ6r9QzPn0Em85iucSX4&s,Science Applied to Life
Accenture,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTygtskXpktVqF2Gx-zbJlOHK3wnhpKJnw7qz1GvZL1tbGR7CHNMHJ_Vq4Lig&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHqRXsxGyS2QI6MRwDn6MMEXyN4CN8LG6CRdznc9zOAj4pWpSkSTUfPYEjulA&s,New Applied Now
Adidas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkaiUkfh39KveYkPr15caauiaBUmcCQPQljVU2UlorHq5OGDNKyN4Tm-9FMSQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHKI4VRP4bdDTAK0RZZ3A_V3O39rTn8raBSeg6T1YJq0RJxI1V9G3qvDldpb4&s,Nothing is Impossible
Adobe,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIH7WN8XCHRs-qN9BK4YuCYyqaGbF6P6Ia8klTiJpDtUh22teCa2y9_y_4hMk&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkBpauFCQrF3x8pcpISrhi0IYlXo_-uocenYDy26DL-O2EM2B1GF2Ym6YBWV0&s,Better by Adobe
Allianz,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-QGET6dgkq961tVdv_I5IaviEuxCjdYZJf3tx66_l2BXkNoT1fCWd9vopHCU&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyCLQ_j7h22XbGSaIq4hLc_YcT5_kPOkbbYTif6d8gYClhZ-wSJDtEihLqdw&s,We Cover Courage
Amazon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSK27nsi-6EeO-4jrZoIKKQbDWu2h1V7QHv0rN3Hg3u8YGjAcryvs4iMQRGHw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSTy6SVPfLTKpL5EhbrXcXOefpC_lJ-AYys-On90DlnvN2hf6asMjJV6_brg&s,Irrisitable Delivered
American,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQEdHFDEHdblW65mQDmFXulbvMD735AkEFYG6WnG1GM5aIZTbgUiAVVx-86oY&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaBs4Rt_e_BatUEQtoWdLHrk7-qFG0Ig6LxaW9Li-HZe3wpFnqgqHam8qpnA&s,ExpressDont Live Life Without It
Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRTCeNvSeb2f3pFqrsuEib5B3U2NN7z-H-mFnFme1Uf4Tk0j_T8Bu3QVZZuX0&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTi-Qm0CI9z9lXCgzrW0796jB0l7c01qZVg0WlkKo-hMYyE17NQ2dMmSJ68uVU&s,NA  Does not use a tagline
Audi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKMh0w1KBoNSqL3RKUFOejOtxigc9b8yK52JxqWIgSt4Lti9lkYwSMnjKtT-k&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6wPNCRYpoJg0BhUD7HeaXh3oy4J75cXLxY9N15fL6Se1qabjt4U8my3VGgg&s,Truth In Engineering
AXA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLIhj_SIKJdGrCk0EV4MYb_JxQS9cTGEZ7MmS_OxbjOpJlwCz8lPCg6ILmsw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnVEYQpXS7ooj7Q_dQ5OtkFOQ_w60blwVzmYs9IKMV_sGRjL54TydD6_JudQ&s,Know You Can
Banco,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTg0hRYkqytMEVPaMEPftGkrBJUy0Y-SnAThTioz23qENiMjsbuAKoYoApY2w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXB66Eim_N4PeejaysDrbN1zc6KxXRLjBh6OpqQdzEdy9PAGg6tnYUI4XeiQ&s,SantanderRespect Ads Up
BMW,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN4gEheIjF2MU5CgAS9cfL8qf5pMX9FYKvx2xoa3YM-wRnRVB9KL-q2epp8sk&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUHUTxpTdcL3I-bFVrPGKKNZwnBwJPF1qzc3ads1sNMFrVSEG3JHksm4Bi4Q&s,The Ultimate Driving Machine
Budweiser,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkZwyNRciRAloD8wpR6i8UaBQZL1uw3x5IHXnyipGA2SIKzZkwz_0Qbzhpxsc&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB3Km_C6r2KdlQ7zDG8bFbgG7UgDrNFUFlA8R4VTRKvEsNzEryJmITEethCg&s,This Buds For You
Burberry,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhoqXmWrY12vHI4s65tns6w7_tNcVO_P01h-bsEBKLk8zHUHQhKByn1KDgVg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRPwXDHsGomQvDLWzz57C7arLE6WCLpA9AsMAHxtl9Ges8SE6QnrgPQvPKOA&s,London England
Canon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmYUAYKJdTRKm0IZu1Q-m5lJrY_bbMYFgao0XWEB5cRiDU-r_naMWOW2rnWw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJqBF3KqsfI5a0iecnlpEFDy2f7zAKcqgpPAQt1dyj18ZlVnjjNwlUgtjZRQ&s,Delighting You Always
Cartier,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQk9ijqCU-rLkrajRGfwIT5EYji24N5TBMH0jzs3Vrw_JlrGfPD7Pfs_QEssg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBSQafwGmHQQCMbP6XA6HZbCBY2CkMMZJ_srnMsIUfJjDj3sf1ITo2Di7SKg&s,The art of being unique
Caterpillar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpQ6qDeQK_A1Mn_BSfqR28rK0S-bmjbHcE6l20pHVr-q6GKp6eJWtSs9mqUaU&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvufNZEi1VFHldtAhro5jgkriUvVjYVqBXxS-GoBbljOjXMUSkPsVia6NeH6s&s,Lets Do The Work
Chanel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4_uGBTHfzdLvOLIHtEdB3g5EUsngd2ICmNXFeHpztdm46JGQtkxk-d2JC1E8&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgbCdqAN8f28uF8q1DJVSFt9cjDsDe6FPWqDBM7Tuar4D89wh7J_2_ZwYOBQ&s,NA  Does not use a tagline
Cisco,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI4bZHannfhLJbNcT15wD1oq320qEZDfG1wr-Hw_nZzk1n_hL1eAvA2AWM_Q&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRbKtAFZAdBJsgje-7M4KgFKsSSOtcN0PH_vRxNKCvdhuBPlvN96gPKbJ07Vw&s,The Bridge To Possible
Citi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyNqmudnDoQvW_d3LkITiEHFrgTjNZrloGkkE7xC014sxBThfOHzRHaB8S-Q&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSM9IZf17TC7jI-HVibhVJQC_ryVTAfQ0IbrB1fJHMexS8RzuNs4Akm5Se7ptE&s,Welcome Whats Next
Coca-Cola,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDnmO_4AkoE1V5tQr99Z5bJjkiEtjzXy61UmvdmFzDwwCF6S4CijXxknEjs1I&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNE7Ue7-iUa--od73nyuEFDOAcGFTnOXbQf0rUO-TS-T0YDxaVIxtItHZUBg&s,Open Happiness
Colgate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfmJCboQ-FHZ6xqSiGyqDcKwJwjmf6KnKUrZG-8XBGaeTuUQ8iwWLIv-CF4j0&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu8qCEHJj4c9zlrB3u1yGqmbYg6fMMw9Pk1-raC9VgKJ8AkcyIEYLhimKxfVM&s,Antibacterial Protection for a Healthier Mouth Total
Corona,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT80iuQSuVUcg262eDHsd_TXwQXUfEuZVOakWk66dP3o9iA5tTIWLWK70HpNQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWoIKqu4RYM7CZXwTMKneb9UHERpshzscUVFsGDW19J37KmmNRcdiphGNFiw&s,Find Your Beach Hard Seltzer
Danone,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAY7O12CLYiq9AF44wlVCIwgdve4leKf2oj_XNUC_HfHfu-aC0M8uZt1moiw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTvv_3_jhi0bg4_yvsBZoGPNFcgff6XtODU_iCIjdjJB1qJuop4i6KAALXJTQ&s,NA  Does not use a tagline
Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtkAweLIpteaDFUDrilI9LsyKh2OvC4GDl0xmapy-DOP6FF3B2R_F5j5wJBfA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-sJkPhk7dJozmm6mb432wZ75-k_Bnadgqc4PfP5NefMAfXaGQfu5mmjLhzw&s,Every Little Thing Is Everything
DHL,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRO59UPgNScCDVilK57rn3ujoPd5SNv8cl_QcZYDqTQ_3SstrEYX7F52veWlxY&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwDbioitkk73iAdaVYAzUU9UM44RlGagc2Csf7eUxPuNUt-KA6FbOXbuI2Zfk&s,Excellence Simply Delivered
Dior,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBWLJSK2Ef77r7fMiHfo5NHamy6f64wmVdj_ghAP19lGRKxzG3D2sgRxrAEA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtQ1JK01VlzMnDCtIIYdOh2fOrYmSBFzD95VSJVS4T4n8C6emA9BMiWyp3ERI&s,NA  Does not use a tagline
Discovery,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcDUY_C-nY8y1u0nO3DVEoi8ekNz6011Pom9CUQJTfvrfHKJnQL04lWupu0A&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDrLLHrrl7vZ6TGZW9kNPHGZreGWv9avhkz55A0pEGOQVDJDNZo0FugpnJxw&s,Explore Your World
Disney,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQACUTCafe9vRjIrjeRWPwaYW7QfFVZ4Bqh_Ly8etngYNnCOmTx875FVpnjKA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnvss4OPaRyurbrM6FcqQrzDuKnAyxla3yxq1Dba-nkV66BhavqteGKdAen3Y&s,The happiest place on earth
eBay,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNZxQ2viDJBgQQOlqvJm8ZavhdhXIDEsjZ6Z4-XvYK_pCIbTmIELxNWeNOraY&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTm54bJQ74th8j7zuZCofPBVVpMqTjmhL9tTvdt2pUKclBeQaVu742Z4qFkZo0&s,Buy it Sell it Love it
Facebook,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQn8ppSMoq5zmrgqLgvbbVzbWoRjqbrz0esemE0GjUtjEyTm3w_y552DsZxsu0&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQSjR-8HVbAzscI4W6NJkuF8OtVuz1PT-aT_2-bQDjwL6f1XEruCD1TSIE_fo&s,More together
